car_model_id,ownerId,dailyPrice,licensePlate,status,yearOfManufacture,chassisNumber,engineNumber,insuranceReference,coeReference,primaryColour,secondaryColour,passengerCapacity,engineCapacityCc,maxUnladenWeightKg,maxLadenWeightKg,currentLocation,availableFrom,availableUntil,maintenanceNote,expectedReturnDate
1,101,575.5,SND1234A,AVAILABLE,2024,CHASSIS_MAS789,ENG_MAS789,POL_MAS789,COE_MAS789,Blue,Silver,5,2979,1870,2400,Changi Airport T3,,,,
2,102,110,SNC5678B,AVAILABLE,2024,CHASSIS_SKO789,ENG_SKO789,POL_SKO789,COE_SKO789,Red,Black,5,1498,1350,1900,Jurong East,,,,
3,103,65.75,SNB9012C,BOOKED,2023,CHASSIS_NIS789,ENG_NIS789,POL_NIS789,COE_NIS789,Orange,Black,5,1598,1250,1750,Tampines Hub,2025-10-01T10:00:00,2025-10-08T10:00:00,,
4,101,460.25,SNA3456D,AVAILABLE,2024,CHASSIS_BMWZ4789,ENG_BMWZ4789,POL_BMWZ4789,COE_BMWZ4789,Blue,Black,2,1998,1495,1700,Orchard Road,,,,
5,102,475,SML7890E,UNDER_MAINTENANCE,2024,CHASSIS_BMWX3789,ENG_BMWX3789,POL_BMWX3789,COE_BMWX3789,Blue,Silver,5,1998,1810,2400,Woodlands Service Center,,,Scheduled maintenance,2025-10-10T17:00:00
6,101,515.5,SMK1234F,AVAILABLE,2024,CHASSIS_BMW5T789,ENG_BMW5T789,POL_BMW5T789,COE_BMW5T789,Blue,None,5,1998,1760,2400,Marina Bay Sands,,,,
7,101,360,SMJ5678G,AVAILABLE,2024,CHASSIS_BMWM240789,ENG_BMWM240789,POL_BMWM240789,COE_BMWM240789,Blue,Black,4,2998,1690,2100,Sentosa Gateway,,,,
8,102,480.75,SMH9012H,BOOKED,2024,CHASSIS_BMWM440789,ENG_BMWM440789,POL_BMWM440789,COE_BMWM440789,Blue,Carbon Fiber,4,2998,1815,2200,Changi Jewel,2025-10-05T14:00:00,2025-10-12T14:00:00,,
9,103,495.25,SMG3456I,AVAILABLE,2025,CHASSIS_POR911789,ENG_POR911789,POL_POR911789,COE_POR911789,Blue,None,2,2981,1505,1900,Dempsey Hill,,,,
10,101,620,SMF7890J,AVAILABLE,2024,CHASSIS_AMGSL63789,ENG_AMGSL63789,POL_AMGSL63789,COE_AMGSL63789,Silver,Black,2,3982,1970,2300,Fullerton Hotel,,,,
11,102,540.5,SME1234K,AVAILABLE,2023,CHASSIS_MERV789,ENG_MERV789,POL_MERV789,COE_MERV789,Blue,Chrome,7,1950,2370,3100,Paya Lebar Quarter,,,,
12,103,165,SMD5678L,AVAILABLE,2023,CHASSIS_PEU5008789,ENG_PEU5008789,POL_PEU5008789,COE_PEU5008789,Blue,White,5,1199,1430,2100,VivoCity,,,,
13,101,260.25,SMC9012M,AVAILABLE,2024,CHASSIS_TOYALP789,ENG_TOYALP789,POL_TOYALP789,COE_TOYALP789,Black,Chrome,7,2494,2135,2700,Resorts World Sentosa,,,,
14,102,105.75,SMB3456N,AVAILABLE,2024,CHASSIS_TOYPRI789,ENG_TOYPRI789,POL_TOYPRI789,COE_TOYPRI789,White,Black,5,1987,1420,1900,Singapore Science Park,,,,
15,103,170,SMA7890P,AVAILABLE,2023,CHASSIS_VWGOLF789,ENG_VWGOLF789,POL_VWGOLF789,COE_VWGOLF789,Grey,None,5,1498,1370,1900,Suntec City,,,,
16,101,155.5,SNN1234Q,BOOKED,2023,CHASSIS_VWPOLO789,ENG_VWPOLO789,POL_VWPOLO789,COE_VWPOLO789,Blue,Black,5,999,1130,1600,Bugis Junction,2025-09-28T09:00:00,2025-10-05T09:00:00,,
17,102,255,SNM5678R,AVAILABLE,2023,CHASSIS_MINIC789,ENG_MINIC789,POL_MINIC789,COE_MINIC789,Grey,White,5,1499,1365,1800,Holland Village,,,,
18,103,670.25,SNL9012S,AVAILABLE,2024,CHASSIS_LRR789,ENG_LRR789,POL_LRR789,COE_LRR789,Black,Silver,5,2997,2454,3200,CapitaSpring,,,,
1,102,580,SNK3456T,AVAILABLE,2024,CHASSIS_MAS790,ENG_MAS790,POL_MAS790,COE_MAS790,Black,Red,5,2979,1870,2400,Changi Airport T1,,,,
2,101,115.5,SNJ7891U,UNDER_MAINTENANCE,2024,CHASSIS_SKO790,ENG_SKO790,POL_SKO790,COE_SKO790,Silver,Black,5,1498,1350,1900,Defu Lane Service Center,,,Tire replacement,2025-10-06T12:00:00
3,103,70,SNH2345V,AVAILABLE,2023,CHASSIS_NIS790,ENG_NIS790,POL_NIS790,COE_NIS790,White,None,5,1598,1250,1750,Our Tampines Hub,,,,
